EvalName,reward,kernel_reward,sss_reward_scale,r1,r2,kernel_time_step,name,avg_times,std_dev,success_rate,test_number,train_time
PaperTest,progress,Constant,0.7,,,0.1,Kernel_Const_0.7_0,113.15,3.320767983464066,100.0,0,106.24224972724915
reward,CthCenter,,,0.04,0.004,,bTuning_reward_CthCenter_0.04_3,120.89,5.700692940336288,100.0,3,110.0533812046051
PaperTest,cthCent,,,0.004,,0.1,Baseline_reward_cthCent_0.004_1,161.05050505050505,4.862500785227508,99.0,1,118.2288556098938
reward,Steer,,,0.02,0,,bTuning_reward_Steer_0.02_3,159.23,8.485110488379041,100.0,3,102.42233300209045
PaperTest,progress,Magnitude,0.2,,,0.1,Kernel_Mag_0.2_1,128.71,5.152271343786156,100.0,1,105.94591403007507
reward_1,Steer_01,,,,,,bTuning_reward_1_Steer_01_1,112.24,5.549990990983679,100.0,1,110.58706831932068
PaperTest,Steer,,,0.01,,0.1,Baseline_reward_Steer_0.01_1,164.94,4.406404429917889,100.0,1,111.33198857307434
PaperTest,progress,Constant,0.2,,,0.1,Kernel_Const_0.2_1,112.19,3.2084108215750677,100.0,1,105.0460844039917
reward_1,DistRef_1,,,,,,bTuning_reward_1_DistRef_1_1,123.86,3.671566423204134,100.0,1,0
PaperTest,progress,Magnitude,0.5,,,0.1,Kernel_Mag_0.5_3,102.6,5.619608527290848,100.0,3,106.79969668388367
PaperTest,progress,,,,,,RandoKernelTest_150,148.0,0.0,1.0,0,
PaperTest,progress,Magnitude,0.5,,,0.1,Kernel_Mag_0.5_4,121.61,6.0611797531503715,100.0,4,106.1034734249115
reward,Steer,,,0.01,0,,bTuning_reward_Steer_0.01_3,119.84,6.988161417712101,100.0,3,101.87860822677612
reward,CthCenter,,,0.03,0.004,,bTuning_reward_CthCenter_0.03_1,127.58,4.7774051534279565,100.0,1,110.61770558357239
PaperTest,progress,Constant,0.5,,,0.1,Kernel_Const_0.5_2,93.98,5.578494420540367,100.0,2,105.56814050674438
PaperTest,progress,,,,,0.1,RandoKernelTest_80,158.76,1.9189580506097572,100.0,0,
PaperTest,progress,,,,,,RandoKernelTest_{value},0.0,0.0,0.0,0,
PaperTest,progress,,,,,0.1,StraightPlanner,156.0,0.0,,0,
PaperTest,progress,Magnitude,1,,,0.1,Kernel_Mag_1_3,99.73,3.3432170135963357,100.0,3,105.03082776069641
PaperTest,progress,,,,,0.1,RandoResult,156.04,2.7310071402323355,100.0,0,
PaperTest,cthCent,,,0.04,,0.1,Baseline_reward_cthCent_0.04_1,136.83,8.098215852890068,100.0,1,118.50031685829163
PaperTest,progress,,,,,0.1,RandoKernelTest_100,159.1219512195122,2.679598822823857,82.0,0,
PaperTest,distRef,,,0.004,,0.1,Baseline_reward_distRef_0.004_1,78.76,11.286381173786397,100.0,1,112.93166470527649
reward,DistRef_1,,,1,0,,bTuning_reward_DistRef_1_1_3,78.08771929824562,7.049401372505343,56.99999999999999,3,108.62496066093445
PaperTest,progress,Magnitude,1,,,0.1,Kernel_Mag_1_4,107.42,6.9212426629905135,100.0,4,109.91216444969177
PaperTest,progress,Constant,0.5,,,0.1,Kernel_Const_0.5_1,122.51,4.24145022368529,100.0,1,107.44846677780151
PaperTest,progress,Constant,1,,,0.1,Kernel_Const_1_2,95.5,5.002999100539595,100.0,2,107.4771842956543
PaperTest,progress,Constant,0,,,0.1,Kernel_Const_0_3,161.30927835051546,1.6829087775185039,97.0,3,113.68011903762817
PaperTest,progress,Magnitude,1,,,0.1,Kernel_Continuous_4,51.0,0.0,100.0,4,117.38258624076843
reward_1,Steer_1,,,,,,bTuning_reward_1_Steer_1_1,122.25,4.846390409366542,100.0,1,111.48246550559998
reward,Steer,,,0,0,,bTuning_reward_Steer_0_3,115.79591836734694,6.848147647168374,98.0,3,103.00055527687073
reward,CthRef,,,0.04,0.004,,bTuning_reward_CthRef_0.04_3,96.55,9.772793868694867,100.0,3,111.77340388298035
PaperTest,progress,Magnitude,0.2,,,0.1,Kernel_Mag_0.2_2,134.74,1.5787336697492709,100.0,2,108.43495082855225
PaperTest,progress,Constant,0.7,,,0.1,Kernel_Const_0.7_4,103.6,7.43370701601832,100.0,4,105.06695675849915
PaperTest,progress,,,,,0.05,RandoKernelTest_0.05,0.0,0.0,0.0,0,
PaperTest,progress,Constant,0.2,,,0.1,Kernel_Const_0.2_3,139.67,2.9767599836063368,100.0,3,107.01405191421509
PaperTest,progress,Magnitude,1,,,0.1,Kernel_Mag_1_1,109.25,5.267589581582833,100.0,1,106.27905631065369
PaperTest,progress,Magnitude,1,,,0.1,Kernel_Episodic_1,62.42,4.609077998906072,100.0,1,120.70517158508301
reward,DistRef_1,,,1,0,,bTuning_reward_DistRef_1_1,79.88775510204081,5.970817899501255,98.0,1,109.8054256439209
PaperTest,progress,Constant,0,,,0.1,Kernel_Const_0_1,149.83,6.621261209165517,100.0,1,113.18839764595032
reward_1,Steer_005,,,,,,bTuning_reward_1_Steer_005_1,139.85858585858585,5.354145191109108,99.0,1,113.83743071556091
reward,Steer,,,0,0,,bTuning_reward_Steer_0_2,140.94,8.017256388565855,100.0,2,107.39213132858276
PaperTest,progress,,,,,0.1,RandoKernelTest_85,140.0,0.0,1.0,0,
reward_1,Steer_05,,,,,,bTuning_reward_1_Steer_05_1,128.85714285714286,6.956017915684813,91.0,1,112.2887692451477
PaperTest,progress,Magnitude,0.7,,,0.1,Kernel_Mag_0.7_1,86.4,3.455430508634199,100.0,1,104.95611047744751
PaperTest,progress,Magnitude,0.5,,,0.1,Kernel_Mag_0.5_2,122.42,4.923779036471884,100.0,2,107.25639796257019
PaperTest,progress,Constant,0,,,0.1,Kernel_Const_0_0,149.07,2.098833009079093,100.0,0,113.33958172798157
reward,CthCenter,,,0.02,0.004,,bTuning_reward_CthCenter_0.02_2,52.5,2.0024984394500787,100.0,2,116.55300378799438
PaperTest,progress,Constant,0.5,,,0.1,Kernel_Const_0.5_3,126.38,4.330773602949015,100.0,3,108.14484691619873
PaperTest,progress,Constant,1,,,0.1,Kernel_Const_1_1,140.37,3.2516303602962,100.0,1,107.60993838310242
PaperTest,progress,,,,,0.1,MinSteerPlanner,112.0,0.0,,0,
PaperTest,progress,Magnitude,0.2,,,0.1,Kernel_Mag_0.2_4,88.06,3.949227772615806,100.0,4,109.2398772239685
PaperTest,progress,Magnitude,0.2,,,0.1,Kernel_Mag_0.2_3,137.28,2.963376452629669,100.0,3,107.93676686286926
PaperTest,progress,,,,,0.1,RandoKernelTest_60,158.46753246753246,2.5966232597051815,77.0,0,
PaperTest,progress,Magnitude,1,,,0.1,Kernel_Episodic_2,76.22,4.740421922149968,100.0,2,117.88090753555298
