#,Name,%Complete,AvgTime,Std,NoObs
0,Kernel_Const_0.5_2,100.0,94.87,6.186525680864826,0.0
1,Kernel_Const_1_2,100.0,95.02,4.969869213570917,0.0
2,Kernel_Const_0_2,0.0,0.0,0.0,0.0
3,Kernel_Mag_0.5_2,100.0,122.21,5.77978373297825,0.0
4,Kernel_Mag_1_2,100.0,123.34,5.692486275784949,0.0
