#,Name,%Complete,AvgTime,Std,NoObs
0,ModRepeat_forest_0,96.0,437.0104166666667,37.73302454737833,375.0
1,ModRepeat_forest_1,95.0,456.12631578947367,44.62244941382926,386.0
2,ModRepeat_forest_2,92.0,560.6630434782609,86.7076894907493,431.0
3,ModRepeat_forest_3,88.0,457.6136363636364,59.59168486423822,374.0
4,ModRepeat_forest_4,96.0,458.4791666666667,54.49846694454401,372.0
5,ModRepeat_forest_5,87.0,456.2413793103448,59.4439686948092,376.0
6,ModRepeat_forest_6,95.0,451.4736842105263,37.225583196524,380.0
7,ModRepeat_forest_7,94.0,441.2340425531915,34.99496180513518,376.0
8,ModRepeat_forest_8,91.0,470.2967032967033,59.75232663739796,384.0
9,ModRepeat_forest_9,91.0,479.16483516483515,51.27308137146117,403.0
