#,Name,%Complete,AvgTime,Std,NoObs
0,ModRepeat_forest_0,80.0,409.0,13.656500283747663,375.0
1,ModRepeat_forest_1,100.0,434.6,18.084247288731707,386.0
2,ModRepeat_forest_2,80.0,501.0,70.29580357318636,431.0
3,ModRepeat_forest_3,100.0,409.4,14.458215657542253,374.0
4,ModRepeat_forest_4,100.0,410.4,20.577657787027174,372.0
5,ModRepeat_forest_5,100.0,422.0,31.119125951735853,376.0
6,ModRepeat_forest_6,100.0,446.8,40.21144115795901,380.0
7,ModRepeat_forest_7,100.0,395.8,13.629380029920656,376.0
8,ModRepeat_forest_8,100.0,456.8,53.89025886002033,384.0
9,ModRepeat_forest_9,80.0,460.25,54.51777233159844,403.0
