#,Name,%Complete,AvgTime,Std,NoObs
0,Navforest_3,40.0,1412.0,19.0,1485.0
1,Follow the Forest Gap,100.0,427.8,29.171218692402963,373.0
2,Oracle Path Follower,100.0,378.6,4.8,372.0
3,ModForest_3,0.0,0.0,0.0,159.0
